locus,protein,endosperm_protein_log2fc
LOC_Os01g13430,LOC_Os01g13430.1,-0.6
LOC_Os10g35110,LOC_Os10g35110.1,-0.28
LOC_Os02g57640,LOC_Os02g57640.1,-0.38
LOC_Os05g01270,LOC_Os05g01270.1,-0.59
LOC_Os05g08840,LOC_Os05g08840.1,-0.44
LOC_Os05g33380,LOC_Os05g33380.1,-0.19
LOC_Os02g32660,LOC_Os02g32660.1,-0.31
LOC_Os03g10340,LOC_Os03g10340.1,-0.28
LOC_Os08g30060,LOC_Os08g30060.1,-0.32
LOC_Os09g32540,LOC_Os09g32540.1,-0.64
LOC_Os01g60190,LOC_Os01g60190.1,-0.16
LOC_Os12g17910,LOC_Os12g17910.1,-0.4
LOC_Os06g12450,LOC_Os06g12450.1,-0.26
LOC_Os06g45710,LOC_Os06g45710.1,-0.26
LOC_Os01g16030,LOC_Os01g16030.1,-0.43
LOC_Os10g33800,LOC_Os10g33800.1,-0.21
LOC_Os05g31000,LOC_Os05g31000.1,0.44
LOC_Os04g41960,LOC_Os04g41960.1,-0.12
LOC_Os05g06480,LOC_Os05g06480.1,-0.86
LOC_Os02g58340,LOC_Os02g58340.1,-0.15
LOC_Os01g04730,LOC_Os01g04730.1,-0.34
LOC_Os12g41390,LOC_Os12g41390.1,-0.27
LOC_Os11g29400,LOC_Os11g29400.1,-0.31
LOC_Os04g01290,LOC_Os04g01290.1,-0.22
LOC_Os05g02520,LOC_Os05g02520.1,-0.12
LOC_Os06g06030,LOC_Os06g06030.1,-0.12
LOC_Os11g24070,LOC_Os11g24070.1,0.34
LOC_Os03g55070,LOC_Os03g55070.1,-0.44
LOC_Os01g18050,LOC_Os01g18050.1,-0.4
LOC_Os08g41300,LOC_Os08g41300.1,0.38
LOC_Os02g40880,LOC_Os02g40880.1,-0.34
LOC_Os01g02880,LOC_Os01g02880.1,-0.49
LOC_Os03g19290,LOC_Os03g19290.1,-0.74
LOC_Os06g41990,LOC_Os06g41990.1,-0.29
LOC_Os08g09940,LOC_Os08g09940.1,-0.26
LOC_Os07g10830,LOC_Os07g10830.1,-0.64
LOC_Os03g04970,LOC_Os03g04970.1,-0.07
LOC_Os08g23710,LOC_Os08g23710.1,-0.37
LOC_Os01g22010,LOC_Os01g22010.1,-0.31
LOC_Os09g35970,LOC_Os09g35970.1,-0.34
LOC_Os04g35090,LOC_Os04g35090.1,-0.35
LOC_Os07g11410,LOC_Os07g11410.1,-0.28
LOC_Os05g05840,LOC_Os05g05840.1,-0.26
LOC_Os08g36150,LOC_Os08g36150.1,0.15
LOC_Os03g18590,LOC_Os03g18590.1,-0.13
LOC_Os10g31950,LOC_Os10g31950.1,-0.33
LOC_Os03g62620,LOC_Os03g62620.2,0.16
LOC_Os06g23440,LOC_Os06g23440.1,-0.33
LOC_Os04g39270,LOC_Os04g39270.1,-0.33
LOC_Os10g35870,LOC_Os10g35870.1,-0.52
LOC_Os10g28120,LOC_Os10g28120.1,0.42
LOC_Os11g29190,LOC_Os11g29190.1,0.44
LOC_Os03g14180,LOC_Os03g14180.1,0.34
LOC_Os03g13730,LOC_Os03g13730.1,-0.26
LOC_Os08g44860,LOC_Os08g44860.2,-0.24
LOC_Os12g36640,LOC_Os12g36640.1,-0.26
LOC_Os03g21490,LOC_Os03g21490.1,-0.52
LOC_Os07g30970,LOC_Os07g30970.1,-0.61
LOC_Os08g09230,LOC_Os08g09230.1,-0.49
LOC_Os01g51754,LOC_Os01g51754.1,-0.4
LOC_Os08g03290,LOC_Os08g03290.1,0.14
LOC_Os02g47850,LOC_Os02g47850.2,-0.25
LOC_Os01g37837,LOC_Os01g37837.1,-0.22
LOC_Os04g40950,LOC_Os04g40950.1,-0.36
LOC_Os01g04370,LOC_Os01g04370.1,-0.38
LOC_Os03g51600,LOC_Os03g51600.1,-0.18
LOC_Os04g33150,LOC_Os04g33150.1,-0.32
LOC_Os02g15169,LOC_Os02g15169.1,-0.48
LOC_Os01g71474,LOC_Os01g71474.1,-0.22
LOC_Os02g48720,LOC_Os02g48720.1,-0.32
LOC_Os09g32290,LOC_Os09g32290.2,-0.37
LOC_Os03g08280,LOC_Os03g08280.1,-0.37
LOC_Os01g23610,LOC_Os01g23610.1,-0.31
LOC_Os06g29180,LOC_Os06g29180.1,-0.26
LOC_Os11g40530,LOC_Os11g40530.1,0.33
LOC_Os12g43630,LOC_Os12g43630.1,-0.39
LOC_Os05g50380,LOC_Os05g50380.1,-0.26
LOC_Os08g40930,LOC_Os08g40930.1,-0.25
LOC_Os01g46070,LOC_Os01g46070.1,-0.42
LOC_Os03g63410,LOC_Os03g63410.1,-0.18
LOC_Os08g14230,LOC_Os08g14230.1,-0.27
LOC_Os10g41410,LOC_Os10g41410.2,-0.38
LOC_Os03g50885,LOC_Os03g50885.1,-0.26
LOC_Os01g15010,LOC_Os01g15010.1,0.34
LOC_Os02g07060,LOC_Os02g07060.1,-0.17
LOC_Os11g47520,LOC_Os11g47520.1,-0.35
LOC_Os03g46490,LOC_Os03g46490.1,-0.22
LOC_Os01g46750,LOC_Os01g46750.1,-0.22
LOC_Os11g09280,LOC_Os11g09280.1,-0.28
LOC_Os03g44420,LOC_Os03g44420.1,-0.29
LOC_Os01g55540,LOC_Os01g55540.1,-0.21
LOC_Os05g46480,LOC_Os05g46480.1,-0.36
LOC_Os03g40440,LOC_Os03g40440.1,-0.18
LOC_Os12g38110,LOC_Os12g38110.1,-0.18
LOC_Os07g11510,LOC_Os07g11510.1,-0.21
LOC_Os04g40660,LOC_Os04g40660.1,-0.14
LOC_Os02g39570,LOC_Os02g39570.1,-0.23
LOC_Os03g15950,LOC_Os03g15950.1,-0.18
LOC_Os12g36194,LOC_Os12g36194.1,0.41
LOC_Os05g46230,LOC_Os05g46230.1,-0.13
LOC_Os10g17280,LOC_Os10g17280.1,-0.29
LOC_Os05g27940,LOC_Os05g27940.1,0.5
LOC_Os02g12650,LOC_Os02g12650.1,-0.32
LOC_Os11g01380,LOC_Os11g01380.1,-0.44
LOC_Os08g02340,LOC_Os08g02340.1,0.22
LOC_Os05g28510,LOC_Os05g28510.1,-0.26
LOC_Os06g09630,LOC_Os06g09630.1,-0.37
LOC_Os03g15960,LOC_Os03g15960.1,0.23
LOC_Os05g49440,LOC_Os05g49440.2,-0.33
LOC_Os03g64210,LOC_Os03g64210.1,-0.2
LOC_Os07g12080,LOC_Os07g12080.1,-0.17
LOC_Os01g49290,LOC_Os01g49290.1,-0.09
LOC_Os07g08330,LOC_Os07g08330.1,0.25
LOC_Os08g02120,LOC_Os08g02120.1,0.13
LOC_Os04g38870,LOC_Os04g38870.1,-0.57
LOC_Os05g23860,LOC_Os05g23860.1,-0.21
LOC_Os03g05730,LOC_Os03g05730.1,-0.17
LOC_Os04g40990,LOC_Os04g40990.1,0.13
LOC_Os04g35900,LOC_Os04g35900.1,-0.28
LOC_Os09g29070,LOC_Os09g29070.1,-0.34
LOC_Os02g07260,LOC_Os02g07260.1,-0.11
LOC_Os05g25310,LOC_Os05g25310.1,-0.13
LOC_Os04g43200,LOC_Os04g43200.1,0.41
LOC_Os03g56810,LOC_Os03g56810.1,-0.17
LOC_Os08g08840,LOC_Os08g08840.1,-0.37
LOC_Os02g58510,LOC_Os02g58510.1,-0.19
LOC_Os01g51380,LOC_Os01g51380.1,-0.36
LOC_Os03g55090,LOC_Os03g55090.1,-0.18
LOC_Os11g01510,LOC_Os11g01510.1,-0.19
LOC_Os07g11330,LOC_Os07g11330.1,0.1
LOC_Os06g05660,LOC_Os06g05660.1,0.13
LOC_Os08g13690,LOC_Os08g13690.1,-0.18
LOC_Os02g56000,LOC_Os02g56000.1,-0.2
LOC_Os03g06200,LOC_Os03g06200.1,-0.15
LOC_Os09g30418,LOC_Os09g30418.1,-0.17
LOC_Os02g10640,LOC_Os02g10640.1,-0.27
LOC_Os01g47730,LOC_Os01g47730.1,-0.59
LOC_Os06g51084,LOC_Os06g51084.1,-0.2
LOC_Os06g02028,LOC_Os06g02028.1,0.33
LOC_Os12g42884,LOC_Os12g42884.1,-0.19
LOC_Os03g22120,LOC_Os03g22120.1,-0.17
LOC_Os05g06500,LOC_Os05g06500.1,-0.22
LOC_Os03g61970,LOC_Os03g61970.1,-0.23
LOC_Os07g11310,LOC_Os07g11310.1,-0.23
LOC_Os01g46610,LOC_Os01g46610.1,-0.16
LOC_Os05g06430,LOC_Os05g06430.1,0.07
LOC_Os06g13810,LOC_Os06g13810.1,-0.23
LOC_Os10g42280,LOC_Os10g42280.1,-0.14
LOC_Os03g19280,LOC_Os03g19280.1,0.13
LOC_Os02g55420,LOC_Os02g55420.1,-0.14
LOC_Os05g41970,LOC_Os05g41970.1,-0.23
LOC_Os01g72810,LOC_Os01g72810.1,-0.21
LOC_Os04g43170,LOC_Os04g43170.1,-0.17
LOC_Os09g19734,LOC_Os09g19734.1,-0.15
LOC_Os08g41990,LOC_Os08g41990.1,-0.22
LOC_Os08g23110,LOC_Os08g23110.1,-0.19
LOC_Os04g42930,LOC_Os04g42930.1,-0.16
LOC_Os04g02900,LOC_Os04g02900.1,0.17
LOC_Os08g25390,LOC_Os08g25390.1,-0.29
LOC_Os08g44530,LOC_Os08g44530.1,0.15
LOC_Os06g50300,LOC_Os06g50300.1,-0.13
LOC_Os05g22970,LOC_Os05g22970.1,0.46
LOC_Os02g54700,LOC_Os02g54700.2,-0.23
LOC_Os08g40790,LOC_Os08g40790.1,-0.32
LOC_Os06g14510,LOC_Os06g14510.1,-0.27
LOC_Os08g30810,LOC_Os08g30810.1,-0.21
LOC_Os08g09250,LOC_Os08g09250.2,-0.33
LOC_Os07g11380,LOC_Os07g11380.1,-0.13
LOC_Os05g07700,LOC_Os05g07700.1,-0.21
LOC_Os06g39344,LOC_Os06g39344.1,0.25
LOC_Os06g11800,LOC_Os06g11800.1,0.09
LOC_Os05g06350,LOC_Os05g06350.1,-0.22
LOC_Os02g52880,LOC_Os02g52880.1,-0.14
LOC_Os09g33810,LOC_Os09g33810.1,-0.29
LOC_Os02g50350,LOC_Os02g50350.1,-0.19
LOC_Os04g30780,LOC_Os04g30780.1,-0.19
LOC_Os07g46990,LOC_Os07g46990.1,-0.23
LOC_Os01g19450,LOC_Os01g19450.1,-0.17
LOC_Os03g04960,LOC_Os03g04960.1,0.13
LOC_Os06g49480,LOC_Os06g49480.1,0.21
LOC_Os02g24354,LOC_Os02g24354.1,-0.21
LOC_Os07g42300,LOC_Os07g42300.1,-0.13
LOC_Os03g52490,LOC_Os03g52490.1,-0.18
LOC_Os04g42600,LOC_Os04g42600.1,-0.31
LOC_Os03g61600,LOC_Os03g61600.1,-0.08
LOC_Os01g01307,LOC_Os01g01307.1,-0.24
LOC_Os02g06700,LOC_Os02g06700.2,0.15
LOC_Os02g13840,LOC_Os02g13840.1,0.43
LOC_Os10g10244,LOC_Os10g10244.1,-0.23
LOC_Os02g43830,LOC_Os02g43830.1,-0.19
LOC_Os02g02870,LOC_Os02g02870.1,-0.23
LOC_Os08g44480,LOC_Os08g44480.1,-0.14
LOC_Os09g32526,LOC_Os09g32526.1,-0.28
LOC_Os03g21550,LOC_Os03g21550.1,-0.11
LOC_Os09g39380,LOC_Os09g39380.1,-0.13
LOC_Os11g02369,LOC_Os11g02369.1,-0.3
LOC_Os03g48930,LOC_Os03g48930.1,-0.1
LOC_Os11g24560,LOC_Os11g24560.1,-0.23
LOC_Os03g09250,LOC_Os03g09250.1,-0.17
LOC_Os11g08100,LOC_Os11g08100.1,0.12
LOC_Os03g26490,LOC_Os03g26490.1,-0.22
LOC_Os07g46750,LOC_Os07g46750.1,-0.16
LOC_Os01g65090,LOC_Os01g65090.1,-0.16
LOC_Os02g41590,LOC_Os02g41590.1,0.33
LOC_Os03g53900,LOC_Os03g53900.1,-0.18
LOC_Os11g11390,LOC_Os11g11390.1,-0.37
LOC_Os02g11050,LOC_Os02g11050.1,-0.2
LOC_Os03g59060,LOC_Os03g59060.1,0.09
LOC_Os03g60530,LOC_Os03g60530.1,-0.19
LOC_Os07g39750,LOC_Os07g39750.1,-0.12
LOC_Os04g32080,LOC_Os04g32080.1,-0.34
LOC_Os07g06830,LOC_Os07g06830.1,-0.17
LOC_Os02g57040,LOC_Os02g57040.1,-0.19
LOC_Os10g32720,LOC_Os10g32720.1,0.07
LOC_Os05g02060,LOC_Os05g02060.1,-0.11
LOC_Os02g07490,LOC_Os02g07490.1,-0.26
LOC_Os10g35010,LOC_Os10g35010.1,-0.22
LOC_Os10g30580,LOC_Os10g30580.1,0.1
LOC_Os02g04100,LOC_Os02g04100.1,0.15
LOC_Os02g12800,LOC_Os02g12800.1,-0.1
LOC_Os07g42600,LOC_Os07g42600.1,-0.15
LOC_Os07g05400,LOC_Os07g05400.1,-0.15
LOC_Os02g08520,LOC_Os02g08520.1,-0.06
LOC_Os01g61380,LOC_Os01g61380.1,-0.09
LOC_Os06g02380,LOC_Os06g02380.1,-0.17
LOC_Os01g37960,LOC_Os01g37960.1,-0.14
LOC_Os11g10510,LOC_Os11g10510.1,0.13
LOC_Os01g67310,LOC_Os01g67310.1,-0.21
LOC_Os06g46284,LOC_Os06g46284.1,-0.13
LOC_Os04g57590,LOC_Os04g57590.1,-0.31
LOC_Os02g49720,LOC_Os02g49720.1,-0.09
LOC_Os02g39870,LOC_Os02g39870.1,0.12
LOC_Os02g56960,LOC_Os02g56960.1,0.14
LOC_Os06g07600,LOC_Os06g07600.1,-0.12
LOC_Os06g37440,LOC_Os06g37440.1,-0.19
LOC_Os04g46620,LOC_Os04g46620.1,0.21
LOC_Os03g02920,LOC_Os03g02920.1,0.13
LOC_Os07g11650,LOC_Os07g11650.1,0.12
LOC_Os04g32020,LOC_Os04g32020.1,-0.18
LOC_Os06g43850,LOC_Os06g43850.1,-0.14
LOC_Os06g05880,LOC_Os06g05880.1,-0.13
LOC_Os02g38920,LOC_Os02g38920.1,-0.53
LOC_Os02g15070,LOC_Os02g15070.1,-0.23
LOC_Os06g39760,LOC_Os06g39760.1,-0.14
LOC_Os03g50490,LOC_Os03g50490.1,-0.17
LOC_Os03g40270,LOC_Os03g40270.1,0.15
LOC_Os04g32070,LOC_Os04g32070.1,0.23
LOC_Os05g03830,LOC_Os05g03830.1,-0.08
LOC_Os02g04330,LOC_Os02g04330.1,-0.21
LOC_Os08g01770,LOC_Os08g01770.1,0.09
LOC_Os05g41640,LOC_Os05g41640.1,0.17
LOC_Os02g44500,LOC_Os02g44500.1,0.13
LOC_Os07g11900,LOC_Os07g11900.1,-0.11
LOC_Os02g13530,LOC_Os02g13530.1,-0.18
LOC_Os07g11920,LOC_Os07g11920.1,-0.12
LOC_Os03g42110,LOC_Os03g42110.1,-0.42
LOC_Os02g15150,LOC_Os02g15150.1,0.16
LOC_Os03g55420,LOC_Os03g55420.1,-0.09
LOC_Os04g33460,LOC_Os04g33460.1,-0.14
LOC_Os11g26860,LOC_Os11g26860.1,-0.07
LOC_Os12g05050,LOC_Os12g05050.1,-0.13
LOC_Os08g32870,LOC_Os08g32870.1,-0.13
LOC_Os04g44470,LOC_Os04g44470.1,0.1
LOC_Os02g37420,LOC_Os02g37420.1,0.06
LOC_Os01g09010,LOC_Os01g09010.1,0.09
LOC_Os07g41650,LOC_Os07g41650.1,-0.11
LOC_Os11g43900,LOC_Os11g43900.1,-0.11
LOC_Os09g33500,LOC_Os09g33500.1,-0.14
LOC_Os08g08960,LOC_Os08g08960.1,0.07
LOC_Os02g14110,LOC_Os02g14110.1,0.09
LOC_Os06g49110,LOC_Os06g49110.1,-0.1
LOC_Os08g37490,LOC_Os08g37490.1,-0.06
LOC_Os01g71230,LOC_Os01g71230.1,-0.07
LOC_Os08g38910,LOC_Os08g38910.1,-0.06
LOC_Os02g15150,LOC_Os02g15150.2,-0.17
LOC_Os11g21990,LOC_Os11g21990.1,0.07
LOC_Os03g18180,LOC_Os03g18180.1,-0.13
LOC_Os11g20790,LOC_Os11g20790.1,-0.16
LOC_Os02g47940,LOC_Os02g47940.1,0.07
LOC_Os01g13700,LOC_Os01g13700.1,-0.1
LOC_Os06g38960,LOC_Os06g38960.1,0.08
LOC_Os04g31700,LOC_Os04g31700.1,-0.11
LOC_Os08g37320,LOC_Os08g37320.1,0.11
LOC_Os05g18604,LOC_Os05g18604.1,-0.07
LOC_Os05g01820,LOC_Os05g01820.1,-0.15
LOC_Os05g37970,LOC_Os05g37970.3,0.1
LOC_Os09g08430,LOC_Os09g08430.1,0.16
LOC_Os10g27190,LOC_Os10g27190.1,-0.17
LOC_Os03g54890,LOC_Os03g54890.1,-0.08
LOC_Os08g02400,LOC_Os08g02400.1,0.1
LOC_Os03g60740,LOC_Os03g60740.1,-0.08
LOC_Os09g31180,LOC_Os09g31180.1,0.08
LOC_Os09g36030,LOC_Os09g36030.1,-0.06
LOC_Os06g06790,LOC_Os06g06790.1,0.12
LOC_Os06g47320,LOC_Os06g47320.1,0.09
LOC_Os03g22810,LOC_Os03g22810.1,-0.12
LOC_Os03g16980,LOC_Os03g16980.1,-0.06
LOC_Os05g36290,LOC_Os05g36290.1,-0.04
LOC_Os05g41210,LOC_Os05g41210.1,0.11
LOC_Os01g25450,LOC_Os01g25450.1,-0.11
LOC_Os08g38086,LOC_Os08g38086.3,-0.04
LOC_Os03g27260,LOC_Os03g27260.1,0.1
LOC_Os10g38489,LOC_Os10g38489.1,-0.11
LOC_Os01g22520,LOC_Os01g22520.1,0.09
LOC_Os07g11360,LOC_Os07g11360.1,-0.04
LOC_Os01g70170,LOC_Os01g70170.1,-0.04
LOC_Os12g08280,LOC_Os12g08280.1,-0.01
LOC_Os10g27174,LOC_Os10g27174.1,-0.07
LOC_Os09g29200,LOC_Os09g29200.1,0.02
LOC_Os03g07840,LOC_Os03g07840.1,0.11
LOC_Os07g10570,LOC_Os07g10570.1,0.02
LOC_Os02g55560,LOC_Os02g55560.1,-0.04
LOC_Os02g48480,LOC_Os02g48480.1,0.05
LOC_Os03g59020,LOC_Os03g59020.1,0.07
LOC_Os03g28330,LOC_Os03g28330.1,0.04
LOC_Os02g10070,LOC_Os02g10070.1,0.04
LOC_Os06g31210,LOC_Os06g31210.1,-0.04
LOC_Os06g06520,LOC_Os06g06520.1,-0.04
LOC_Os08g05830,LOC_Os08g05830.1,-0.08
LOC_Os11g37270,LOC_Os11g37270.1,-0.04
LOC_Os07g10580,LOC_Os07g10580.1,0.02
LOC_Os03g58430,LOC_Os03g58430.1,-0.06
LOC_Os05g26770,LOC_Os05g26770.1,-0.02
LOC_Os08g04460,LOC_Os08g04460.1,-0.04
LOC_Os04g59040,LOC_Os04g59040.1,-0.02
LOC_Os07g38760,LOC_Os07g38760.1,-0.06
LOC_Os06g11812,LOC_Os06g11812.1,0.02
LOC_Os12g13380,LOC_Os12g13380.1,-0.03
LOC_Os01g43410,LOC_Os01g43410.1,0.03
LOC_Os02g52860,LOC_Os02g52860.1,-0.05
LOC_Os01g51020,LOC_Os01g51020.1,-0.05
LOC_Os03g18510,LOC_Os03g18510.1,0.04
LOC_Os02g53060,LOC_Os02g53060.1,-0.02
LOC_Os01g73780,LOC_Os01g73780.1,-0.09
LOC_Os09g33860,LOC_Os09g33860.1,0.03
LOC_Os10g36650,LOC_Os10g36650.1,0.03
LOC_Os03g45320,LOC_Os03g45320.1,0.03
LOC_Os02g38210,LOC_Os02g38210.1,0.04
LOC_Os01g10930,LOC_Os01g10930.1,-0.02
LOC_Os11g07280,LOC_Os11g07280.1,-0.02
LOC_Os02g16820,LOC_Os02g16820.1,0.01
LOC_Os05g07030,LOC_Os05g07030.1,-0.03
LOC_Os05g26460,LOC_Os05g26460.1,-0.02
LOC_Os10g32550,LOC_Os10g32550.1,-0.03
LOC_Os01g47660,LOC_Os01g47660.1,0.02
LOC_Os02g50620,LOC_Os02g50620.1,-0.03
LOC_Os05g49890,LOC_Os05g49890.1,-0.01
LOC_Os01g73310,LOC_Os01g73310.1,-0.01
LOC_Os06g02144,LOC_Os06g02144.1,0.02
LOC_Os09g12560,LOC_Os09g12560.1,-0.02
LOC_Os01g59150,LOC_Os01g59150.1,-0.01
LOC_Os01g37800,LOC_Os01g37800.1,-0.01
LOC_Os07g05580,LOC_Os07g05580.1,-0.01
LOC_Os03g10510,LOC_Os03g10510.1,0.01
LOC_Os01g64630,LOC_Os01g64630.1,-0.01
LOC_Os11g03470,LOC_Os11g03470.3,-0.02
LOC_Os03g52690,LOC_Os03g52690.1,0.02
LOC_Os05g51670,LOC_Os05g51670.1,0
LOC_Os01g42520,LOC_Os01g42520.1,0
LOC_Os06g35814,LOC_Os06g35814.1,0
LOC_Os08g19420,LOC_Os08g19420.1,0.01
LOC_Os02g40830,LOC_Os02g40830.1,0